PA3,-PA3
PA5,-PA5
PB0,-PB0
PB1,-PB1
PB5,-PB5
PB10,-PB10
PB11,-PB11
PB12,-PB12
PB13,-PB13
PC0,-PC0
PC3,-PC3
PG7,-PG7
PI11,-PI11
P0,PC1
P1,PC2
P2,PA12
P3,PA11
P4,PB8
P5,PB9
P6,PC5
P7,PC6
P8,PC7
P9,PD4
LED_RED,-PA0
LED_GREEN,-PA1
LED_BLUE,-PA2
LED_IR,PH6
OSCEN,PH1
USBEN,PC15
-QSPIFLASH_CS,-PG6
-QSPIFLASH_SCK,-PF10
-QSPIFLASH_IO0,-PD11
-QSPIFLASH_IO1,-PD12
-QSPIFLASH_IO2,-PE2
-QSPIFLASH_IO3,-PD13
-SD_CLK,PC12
-SD_CMD,PD2
-SD_D0,PC8
-SD_D1,PC9
-SD_D2,PC10
-SD_D3,PC11
-WL_REG_ON,PB2
-WL_HOST_WAKE,PC4
-WL_SDIO_CLK,PD6
-WL_SDIO_CMD,PD7
-WL_SDIO_D0,PB14
-WL_SDIO_D1,PB15
-WL_SDIO_D2,PB3
-WL_SDIO_D3,PB4
-BT_REG_ON,PE3
-BT_HOST_WAKE,PG3
-BT_DEV_WAKE,PH7
-BT_RXD,-PF6
-BT_TXD,-PF7
-BT_RTS,-PF8
-BT_CTS,-PF9
-SDRAM_SDCKE0,-PH2
-SDRAM_SDNE0,-PH3
-SDRAM_SDCLK,-PG8
-SDRAM_SDNCAS,-PG15
-SDRAM_SDNRAS,-PF11
-SDRAM_SDNWE,-PA7
-SDRAM_BA0,-PG4
-SDRAM_BA1,-PG5
-SDRAM_NBL0,-PE0
-SDRAM_NBL1,-PE1
-SDRAM_NBL2,-PI4
-SDRAM_NBL3,-PI5
-SDRAM_A0,-PF0
-SDRAM_A1,-PF1
-SDRAM_A2,-PF2
-SDRAM_A3,-PF3
-SDRAM_A4,-PF4
-SDRAM_A5,-PF5
-SDRAM_A6,-PF12
-SDRAM_A7,-PF13
-SDRAM_A8,-PF14
-SDRAM_A9,-PF15
-SDRAM_A10,-PG0
-SDRAM_A11,-PG1
-SDRAM_D0,-PD14
-SDRAM_D1,-PD15
-SDRAM_D2,-PD0
-SDRAM_D3,-PD1
-SDRAM_D4,-PE7
-SDRAM_D5,-PE8
-SDRAM_D6,-PE9
-SDRAM_D7,-PE10
-SDRAM_D8,-PE11
-SDRAM_D9,-PE12
-SDRAM_D10,-PE13
-SDRAM_D11,-PE14
-SDRAM_D12,-PE15
-SDRAM_D13,-PD8
-SDRAM_D14,-PD9
-SDRAM_D15,-PD10
-SDRAM_D16,-PH8
-SDRAM_D17,-PH9
-SDRAM_D18,-PH10
-SDRAM_D19,-PH11
-SDRAM_D20,-PH12
-SDRAM_D21,-PH13
-SDRAM_D22,-PH14
-SDRAM_D23,-PH15
-SDRAM_D24,-PI0
-SDRAM_D25,-PI1
-SDRAM_D26,-PI2
-SDRAM_D27,-PI3
-SDRAM_D28,-PI6
-SDRAM_D29,-PI7
-SDRAM_D30,-PI9
-SDRAM_D31,-PI10
